id,title,category,subcategory,description,images,specifications
23,Ноутбук HP Pavilion 14 Pen/A6 128Gb-SSD 500Gb,Компьютерная техника,Ноутбуки,"Для поездок и простого комфортного использования вам подойдёт ноутбук HP Pavilion 14. Небольшие размеры позволяют легко перемещать ноутбук, а гибкие параметры дадут вам возможность выбрать гаджет с необходимыми для вас характеристиками.","['/upload/product/787/360c3c224a688136534dc326024bce76/full.jpg', '/upload/product/787/8998005956c77b572b00ed0ce8b9c0d8/full.jpg', '/upload/product/787/62cdd4e0b5c63e724b70f7fabc6aa2cf/full.jpg']","{'Процессор': 'Pen/A6', 'Объём оперативной памяти': '4 ГБ', 'Жесткий диск (SSD)': '128+', 'Видеоадаптер': 'Intel UHD Graphics 620', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '11 ч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Опционально', 'Операционная система': 'Windows', 'Экран': 'IPS', 'Жесткий диск (HDD)': '500 Гб+', 'USB порт': 'Есть, 2шт', 'LAN': 'Есть', 'Камера': 'Есть', 'Разрешение экрана': '1366x768 пикс.', 'Диагональ': '14', 'Вес': '1.69 кг'}"
24,Ноутбук HP Pavilion 13 i5+ 8GB 128GB-SSD 1000GB,Компьютерная техника,Ноутбуки,"Используйте HP Pavilion 13 везде: в дороге, дома и на работе! Благодаря компактному размеру и достаточно производительному процессору ноутбук быстро переключается между программами и выдерживает высокие нагрузки.
Рарешение экрана 1920х1080 позволит смотреть любимые фильмы и сериалы в высоком качестве, возьмите их с собой в дорогу! Вы быстро привыкните управлять своим мобильным компьютером при помощи чувствительного тачпада, ведь использование мышки не всегда становится удоным. Попробуйте прямо сейчас!","['/upload/product/793/360c3c224a688136534dc326024bce76/full.jpg', '/upload/product/793/8998005956c77b572b00ed0ce8b9c0d8/full.jpg', '/upload/product/793/62cdd4e0b5c63e724b70f7fabc6aa2cf/full.jpg']","{'Процессор': 'i5+', 'Объём оперативной памяти': '8 ГБ', 'Жесткий диск (SSD)': '128 ГБ', 'Видеоадаптер': 'UHD Graphics 620', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '11 ч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Операционная система': 'Windows', 'Стереодинамики': 'Есть', 'Экран': 'Глянцевый', 'Жесткий диск (HDD)': '1000 Гб +', 'USB порт': 'Есть', 'Матрица': 'IPS', 'Камера': 'Есть', 'Количество ядер': '4', 'Разрешение экрана': '1920x1080 пикс.', 'Диагональ': '13.3', 'Вес': '1.3 кг'}"
25,Ноутбук ASUS VivoBook i3+ 128 Gb-SSD 500Gb,Компьютерная техника,Ноутбуки,"

Прочный и изящный ноутбук небольшого размера с довольно мощным процессором. Стоит отметить отличную систему охлаждения ноутбука, которая присуща моделям бренда Asus, с таким охлаждением и процессором ноутбук достаточно быстро работает в многозадачном режиме. 
","['/upload/product/791/2450fa71257cc999b4837315849b8e4e/full.jpg', '/upload/product/791/fe0c74d93dd029635e733101e68580d8/full.jpg', '/upload/product/791/8d36221b8a1ca57c6d6428541068b64a/full.jpg']","{'Процессор': 'Core i3-7020U 2.3ГГц', 'Объём оперативной памяти': '4 ГБ', 'Жесткий диск (SSD)': '128 ГБ', 'Видеоадаптер': 'GeForce MX110 2ГБ', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '5 ч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Операционная система': 'Windows', 'Стереодинамики': 'Есть', 'Экран': 'TFT', 'Жесткий диск (HDD)': '500 Гб+', 'USB порт': 'Есть', 'Камера': 'Есть', 'Количество ядер': '2', 'Разрешение экрана': '1920x1080 пикс.', 'Диагональ': '15.6', 'Вес': '2 кг'}"
26,Моноблок Lenovo IdeaCentre AIO A540-24ICB,Компьютерная техника,Моноблоки,"Стильный моноблок с футуристично дизайном и большими возможностями! Большой экран дарит возможность работы с огромным количеством информации. Моноблок Lenovo IdeaCentre AIO A540-24ICB это прекрасное сочетание функциональности, компактности и стиля.","['/upload/product/1801/dedd30efaaa7f5f2c997afd6b02cc09c/full.jpg', '/upload/product/1801/69b4ae37ae44f96dc3362719072d2871/full.jpg', '/upload/product/1801/da9e189af68c0e43bad2434e1cabc4cb/full.jpg', '/upload/product/1801/d47b5e15a45f6a0d0e305b34348cbf10/full.jpg', '/upload/product/1801/fa60ca706eb918900a1adc9ccfe6710e/full.jpg', '/upload/product/1801/f5278b9ab33d473e2427c9cbbb5a20ff/full.jpg', '/upload/product/1801/37e018749f4137e5e9d9ec6704e768d1/full.jpg', '/upload/product/1801/7e66299aee720539e9674f9dabd1d93c/full.jpg', '/upload/product/1801/e1c8bb1510c051cbc6bc33cc380ab33d/full.jpg', '/upload/product/1801/3f16c324c1abd6c8da61e6de3230d1bf/full.jpg']","{'Диагональ': '23.8', 'Разрешение экрана': '1920x1080 FHD', 'Процессор': 'Intel Core  i3-9100T', 'Количество ядер': '4', 'Размеры': '435.19x450.9x185 мм', 'Вес': '10.5 кг', 'Объём оперативной памяти': '4 ГБ', 'Встроенный модуль Wi-Fi': 'Да', 'Встроенный модуль Bluetooth': 'Да', 'HDMI': 'Есть', 'Жесткий диск (HDD)': '1 Тб', 'Видеокарта': 'Intel UHD Graphics 630', 'Питание': '90 Вт', 'USB': '5 (2 USB 2.0, 3 USB-A Gen 2)'}"
27,Ноутбук Lenovo IdeaPad 330-17 i3+ 4Gb 128Gb-SSD 500Gb,Компьютерная техника,Ноутбуки,"Lenovo IdeaPad 330-17 i3+ может быть отличным ноутбуком как для работы, так и для нетребовательных игр. Большой экран и хорошее разрешение позволяет полностью погрузиться в происходящее.","['/upload/product/792/60782d3c45eca6f5deca5fbf2c48500a/full.jpg', '/upload/product/792/9f6180c0b28112d210cbfbacf06e21bc/full.jpg']","{'Процессор': 'Intel Core i3 2300 МГц Kaby Lake (7020U)', 'Объём оперативной памяти': '4 ГБ', 'Жесткий диск (SSD)': '128 ГБ', 'Видеоадаптер': 'Intel HD Graphics 620', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '6 ч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Видеокарта': '2 Гб +', 'Операционная система': 'Windows', 'Стереодинамики': 'Есть', 'Экран': 'Матовый', 'Тип памяти': 'DDR4', 'Жесткий диск (HDD)': '500 Гб+', 'USB порт': 'Есть', 'Камера': 'Есть', 'Количество ядер': '2', 'Разрешение экрана': '1600x900 пикс.', 'Диагональ': '17.3', 'Вес': '2.800 кг'}"
28,Системный блок Lenovo V330-15IGM Tower,Компьютерная техника,Системные блоки,".Системный блок Lenovo V330-15IGM в корпусе форм-фактора Tower — настоящая находка для малого бизнеса! Процессор Intel Pentium J5005 обеспечивает на 20% более высокую производительность по сравнению с предшественниками. Благодаря наличию до четырех USB-портов на передней панели, подключение клавиатуры, мыши и других электронных USB-устройств к V330 становится очень простым.","['/upload/product/1811/02bdbac60c2a092592e1e487a082279b/full.jpg', '/upload/product/1811/9657e77634ae77d195252aefa4654fa0/full.jpg', '/upload/product/1811/fe914fa474dc471472802691f85fe9a7/full.jpg']","{'Питание': 'Блок питания 65 Вт', 'Форм фактор': 'tower', 'Мышь': 'есть', 'Клавиатура': 'есть', 'Тип оперативной памяти': 'DDR4 SODIMM', 'Частота процессора, в ГГц': '1.50 ГГц-2.80 ГГц', 'Разъёмы': 'VGA', 'Гнездо для наушников 3.5 мм': 'есть', 'Вход для микрофона': 'есть', 'Видеоадаптер': 'UHD Graphics 605', 'Жесткий диск (SSD)': '256 Гб', 'Операционная система': 'DOS', 'Процессор': 'Intel Pentium J5005', 'USB порт': 'USB 2.0 (4 шт); USB-А 3.1 Gen 1 (2 шт)', 'HDMI': 'Есть, 1 шт.', 'LAN': 'Есть', 'Объём оперативной памяти': '8 ГБ', 'Вес': '4.8 кг', 'Размеры': '360х145х275 мм'}"
29,Системный блок Lenovo ThinkCentre M720q Tiny,Компьютерная техника,Системные блоки,"Lenovo ThinkCentre M720q Tiny – компактный настольный ПК, не уступающий полноразмерным компьютерам по параметрам производительности и времени отклика. ThinkCentre M720 Tiny оснащен множеством портов и разъемов, в том числе с поддержкой технологии USB 3.1 Gen 2, которая обеспечивает быструю подзарядку и передачу данных, даже если ПК выключен или переведен в спящий режим. Порт USB-C с технологией Thunderbolt 3 позволяет подключать мониторы стандарта HD и гарантирует эффективную передачу данных.","['/upload/product/1810/25ea5179751733b24b91d5684676b0bc/full.jpg', '/upload/product/1810/d947950319e5a29623beb44b700f3e27/full.jpg', '/upload/product/1810/9fc966323aecd55ee1c3e1f4db6d60d8/full.jpg', '/upload/product/1810/29b3d34750bc2accc3121c063c96600c/full.jpg', '/upload/product/1810/db3bd283c8823dbe440625d950111ca2/full.jpg', '/upload/product/1810/fb711c594a916aab3f976ca39bd2680d/full.jpg', '/upload/product/1810/2bccdfb85f996239ec54514bed256e57/full.jpg', '/upload/product/1810/38e495b7f7f95dff1001bc11206424cd/full.jpg', '/upload/product/1810/5c2edef590de477a22f54e6974867cb9/full.jpg', '/upload/product/1810/2ae6492bfeb0cd35b68a99b4b62f9b58/full.jpg']","{'Питание': 'Блок питания 65 Вт', 'Безопасность': 'TPM 2.0; Технология Smart USB Protection', 'Форм фактор': 'tiny', 'Мышь': 'есть', 'Клавиатура': 'есть', 'Тип оперативной памяти': 'DDR4', 'Частота процессора, в ГГц': '3.20 ГГц', 'Разъёмы': 'DisplayPort™', 'Гнездо для наушников 3.5 мм': 'есть', 'USB Type-C': 'Да', 'Вход для микрофона': 'есть', 'Видеоадаптер': 'UHD Graphics 610', 'Жесткий диск (SSD)': '256 Гб', 'Операционная система': 'DOS', 'Процессор': 'Intel Pentium G5420T', 'Корпус': 'tiny', 'USB порт': 'USB-А 3.1 Gen 1 (3 шт); USB-А 3.1 Gen 2 (2 шт)', 'HDMI': 'Есть, 1 шт.', 'LAN': 'Есть', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Объём оперативной памяти': '4 ГБ', 'Вес': '1.32 кг', 'Размеры': '34.5х179х183 мм'}"
30,Моноблок Lenovo AIO V130-20IGM,Компьютерная техника,Моноблоки,"

Компактный и высокопроизводительный моноблок от Lenovo -прекрасный выбор для работы в офисе. Компактный размер помогает сэкономить рабочее пространство, которое можно использовать более эффективно. Достаточно мощная начинка позволяет работать с различными инструментами и программами. 
","['/upload/product/1800/c707519a51cf055bf0f0969fe90f4212/full.jpg', '/upload/product/1800/eb2bd5498f03d91c078b088c7f72c8ba/full.jpg', '/upload/product/1800/c7ec70fd2db932b5d7e4cf94e8b5084b/full.jpg', '/upload/product/1800/e2b0ba84263dce6f283d685b0600dbe6/full.jpg', '/upload/product/1800/5051ce36df16ce0bdcd5600ebfb34e52/full.jpg', '/upload/product/1800/2a98ef9f43dc2029937f721208c7ed24/full.jpg', '/upload/product/1800/350152a1b8525816ff5123cd0e8db55a/full.jpg', '/upload/product/1800/be5ca8dc9de50ba7e52f556e08aede52/full.jpg', '/upload/product/1800/5a928db32f31ccd035cf83bad99b8f72/full.jpg', '/upload/product/1800/d1bbfd57105863155ed8fc7d1031907a/full.jpg']","{'Диагональ': '19.5', 'Разрешение экрана': '1440х900 WXGA', 'Процессор': 'Intel Celeron J4005', 'Количество ядер': '2', 'Размеры': '395x460x73.5 мм', 'Вес': '4 кг', 'Объём оперативной памяти': '4 ГБ', 'Встроенный модуль Wi-Fi': 'Да', 'Встроенный модуль Bluetooth': 'Да', 'HDMI': 'Есть', 'Жесткий диск (HDD)': '500 Гб', 'Видеокарта': 'Intel UHD Graphics 600', 'Питание': '65 Вт', 'USB': '6 (4 USB 2.0, 2 USB-A 3.1 Gen 1)'}"
31,Ноутбук Lenovo Yoga S740-15IRH,Компьютерная техника,Ноутбуки,"Наслаждайтесь скоростью и производительностью в любое время вместе с ноутбуком Lenovo Yoga S740-15IRH! Он способен работать до 14 часов без подзарядки. Этого хватит, даже если вам предстоит провести целый день на выездном семинаре или вас ждет марафон любимого сериала. А если аккумулятор сядет, достаточного одного часа, чтобы зарядить его на 80% . Производительность на уровне настольных ПК достигается благодаря процессору Intel Core i7-9750H 2.60 ГГц.","['/upload/product/1809/d2d4f444624bc4e6982ef8e07f20d3d0/full.jpg', '/upload/product/1809/7407d4615947aa3a93bbc7ff5871bca7/full.jpg', '/upload/product/1809/a08bbcc10c6bfb1dd21f54bf20d9b97d/full.jpg', '/upload/product/1809/bd1254e2a963dc91186d90ff127a5034/full.jpg', '/upload/product/1809/17506b6064e15eab52fde011313f1d76/full.jpg', '/upload/product/1809/94523dec9ceff68e84b840d24aad0be3/full.jpg', '/upload/product/1809/120785b701f7c28400a71dc0cebd79d1/full.jpg', '/upload/product/1809/7552dcf6d610624a134d906713a1a9e0/full.jpg', '/upload/product/1809/c84094d0172eff2c7b731b78f23863c7/full.jpg', '/upload/product/1809/890282795d3c9c6245f45fcd374727cf/full.jpg', '/upload/product/1809/f68916b986cf9d2e7a8746662d75be24/full.jpg']","{'Процессор': 'Core i7-9750H', 'Объём оперативной памяти': '16 ГБ', 'Жесткий диск (SSD)': '1024 Гб', 'Максимальное время работы': '14 ч', 'Аккумулятор': '69 Вт-ч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Видеокарта': 'GeForce GTX 1650 Max-Q', 'Тип видеокарты': 'Дискретная', 'Операционная система': 'Windows 10 Home', 'Стереодинамики': 'Есть', 'Тип памяти': 'DDR4', 'USB порт': 'USB-А 3.1 Gen 2 (1 шт); USB Type-C (2 шт)', 'Матрица': 'IPS', 'Камера': 'HD 720p', 'Количество ядер': '6', 'Разрешение экрана': '1920x1080 FHD', 'Диагональ': '15.6', 'Размеры': '17.7х357.14х233.54 мм', 'Вес': '1.90 кг'}"
32,Переходник Apple USB-C Digital AV Multiport Adapter,Ноутбуки,Аксессуары для ноутбуков,"

Apple USB-C Digital AV Multiport Adapter – переходник, с помощью которого вы подключите к компьютеру iMac, ноутбуку MacBook или планшету iPad Pro разнообразные внешние устройства. Он пригодится как дома, так и в офисе. Адаптер подсоединяется через разъём USB Type-C. Благодаря ему вы получите в своё распоряжение ещё один вход такого типа, а также стандартный USB Type-A для взаимодействия с флешками, веб-камерой и прочими девайсами и носителями информации. Интерфейс HDMI позволяет вывести изображение и звук на совместимый телевизор, монитор или проектор. 
","['/upload/product/1485/ea05f4f2d60e22e385c6bf35fe88ccc2/full.jpg', '/upload/product/1485/e23732f1fa0d101ae6ad7ef9e860ec05/full.jpg', '/upload/product/1485/a440825ed746323b9d4618f1c3db45b0/full.jpg']","{'Цвет': 'Белый', 'HDMI': 'Есть, 1 шт.', 'Материал корпуса': 'пластик', 'Тип кабеля': 'USB Type-C - HDMI/USB-A/USB-C'}"
33,Моноблок Lenovo Thinkcentre 92z,Компьютерная техника,Моноблоки,"Моноблок Lenovo Thinkcentre 92z подойдёт тем, кто ценит компактность и кому срочно необходим компьютер для работы из дома! Моноблок оснащён всеми необходимыми портами, но при этом вы забудете о скопе лишних проводов. Весь функционал громоздкого рабочего компьютера сохранен в одном минималистичном мониторе. В комплекте клавиатура и мышь!","['/upload/product/1218/c3a9aeb94cd8f0b69b160f15bbb3ee76/full.jpg', '/upload/product/1218/2b9e802edf8722f66bda852a5cd48e84/full.jpg']","{'Процессор': 'Intel Core i3-3220 CPU 3.30GHz', 'Объём оперативной памяти': '4 ГБ', 'Жесткий диск (HDD)': '500 Гб'}"
34,Ноутбук HP 17-ca0044ur A6-9225 4Gb 500Gb,Компьютерная техника,Ноутбуки,"

Удобный и легкий ноутбук для выполнения повседневных задач. Практичные размеры и достаточно ёмкий аккумулятор позволят использовать ноутбук не только в помещении, но и в дороге и даже просто отдыхая на свежем воздуе! 
","['/upload/product/745/e5562fe290865041766342cd1cec1815/full.jpg', '/upload/product/745/d7a302c2eeece4921bf31ba441e2dc50/full.jpg', '/upload/product/745/dcb97caec89d91191c97ea73aa6bbf06/full.jpg', '/upload/product/745/57bb1117ceaef64f54fbcac604f8dba2/full.jpg', '/upload/product/745/06b33684a80eded4a6e8122df6094654/full.jpg', '/upload/product/745/05f06fba6de11b69ffebe94e0fc77c8f/full.jpg']","{'Процессор': 'Fusion A6-9225 2.6 ГГц', 'Объём оперативной памяти': '4 ГБ', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '9', 'Аккумулятор': 'Li-Ion', 'Встроенный модуль Wi-Fi': 'Да', 'Объём встроенной памяти': '500 ГБ', 'Видеокарта': 'AMD Radeon 530', 'Тип видеокарты': 'Дискретная', 'Операционная система': 'Windows', 'Стереодинамики': 'Есть', 'Тип памяти': 'HDD', 'Жесткий диск (HDD)': '500 Гб', 'USB порт': 'USB 2.0 - 1 шт; USB 3.0 - 2 шт.', 'LAN': 'Есть', 'Матрица': '*VA / SVA /', 'Камера': 'Есть', 'Количество ядер': '2', 'Разрешение экрана': '1600x900 пикс', 'Диагональ': '17.3', 'Размеры': '414.8x272.2x24.5 мм', 'Вес': '2.45 кг'}"
35,Монитор Lenovo ThinkVision P27u-10,Компьютерная техника,Мониторы,"Монитор Lenovo ThinkVision P27u-10 в корне меняет положение дел. Благодаря безрамочному 4K-дисплею типа IPS этот монитор обеспечивает широкую цветовую гамму корпоративного уровня и точность изображения. Широкий угол обзора и предварительно откалиброванная точность цветопередачи позволяют с максимальной легкостью работать над задачами создания контента, в котором важно правильно передавать цвета. Благодаря разнообразным возможностям подключения, в том числе USB Type-C, можно быстро и просто выполнять передачу данных. С помощью программного обеспечения ThinkColor можно легко управлять параметрами цвета. Впечатляющее качество изображения: 27-дюймовый почти безрамочный UHD-дисплей (с разрешением 3840 x 2160 пикселей).
Благодаря наличию нескольких цветовых пространств (Adobe RGB, sRGB, DCI-P3, BT.709) можно выбирать предпочтительное из них для работы над конкретной задачей.
Предварительно откалиброванная точность цветопередачи (среднее значение ΔE<2) позволяет с легкостью работать над задачами, в которых важное значение имеет передача цвета.","['/upload/product/1892/abf2b470d35e0d53ae70239e22a35faf/full.jpg', '/upload/product/1892/e13a70337ee6d6c08d58a0717cb1abab/full.jpg', '/upload/product/1892/c3d7c2cf35b6616cfbf72e4a58a90254/full.jpg', '/upload/product/1892/b04c0621d7ee863ffbbfd6302faddd33/full.jpg', '/upload/product/1892/220580d22060ece80c0445d2712d9587/full.jpg']","{'Диагональ': '27', 'Разрешение экрана': '3840x2160 4k UHD', 'Вес': '6.95 кг', 'Матрица': 'IPS', 'Угол обзора': '178/178', 'Разъёмы': 'USB-А 3.1 Gen 1 / USB-А 3.1 Gen 2 / USB Type-C / DisplayPort / HDMI / Разъем для наушников / Разъем для микрофона', 'Контрастность': '1000 :1', 'Максимальная потребляемая мощность, в ваттах': '50 Вт', 'Соотношение сторон': '16:9', 'Поверхность': 'антибликовая', 'Яркость': '350 нит', 'Время отклика': '6 мс'}"
36,"Сумка для ноутбука 15.6"" HP Value Topload",Аксессуары для ноутбуков,Сумки для ноутбуков,"Превосходная сумка для ноутбука 15.6"" HP Value Topload, с оригинальным дизайном и массой дополнительных отделений. Прочные материалы защитят Ваше устройство от ударов, царапин и влаги. Вы всегда сможете носить с собой ноутбук, все необходимые аксессуары к нему.",['/upload/product/979/4571b45ce60034686ffcf23874c4daf2/full.jpg'],{}
37,"Сумка для ноутбука 17.3"" HP Value Topload",Аксессуары для ноутбуков,Сумки для ноутбуков,"Сумка для ноутбука 17.3"" HP Value Topload как нельзя кстати подойдет для переноски и хранения ноутбука во время работы или путешествий. Сумка выполнена из прочных материалов для повседневного использования: непромокаемая ткань и плотная подкладка по бокам и в задней части, надежные ручки для переноски. В сумке фиксирующий ремешок для ноутбуков диагональю до 43,94 см (17,3"").","['/upload/product/978/e1ac82fce5570c6896a4741c8e5c8b04/full.jpg', '/upload/product/978/23c1e55e2271550663078542aa68659e/full.jpg', '/upload/product/978/00f092d6dc4beeaada32ccfe11ae5179/full.jpg']","{'Диагональ': 'до 43,94 см (17,3', 'Размеры': '44х32х6.5 см', 'Количество карманов': '1', 'Ручка для перемещения': 'Есть', 'Ремень для переноски': 'есть, не съемный'}"
38,Ноутбук ASUS ROG i5 8GB 120GB-SSD 1000GB,Компьютерная техника,Ноутбуки,"

Необязательно собирать громоздкий компьютер, чтобы пройти все самые острые сюжеты в игровой индустрии! Текущие технологии позволяют создавать ноутбуки, которые не уступают мощностью стациноарным компьютерам, Asus Rog – яркий тому пример! 
","['/upload/product/795/52fd08bb1e0611dca77edc2b0dfef945/full.jpg', '/upload/product/795/016184de4253ebc436c1acf1ecf66bf6/full.jpg', '/upload/product/795/aad22cede68d0010300d375be8d64be1/full.jpg', '/upload/product/795/e241c454d719c0c43c6ea3df529b28cd/full.jpg', '/upload/product/795/53ac1915f2179c8675ef3abaa8d399c8/full.jpg']","{'Процессор': 'i5', 'Объём оперативной памяти': '8 ГБ', 'Жесткий диск (SSD)': '128 ГБ', 'Версия ОС': 'Windows 10', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Видеокарта': 'NVIDIA GeForce GTX 1050', 'Операционная система': 'Windows', 'Стереодинамики': 'Есть', 'Экран': 'Матовый', 'Тип памяти': 'DDR4', 'Жесткий диск (HDD)': '1000 Гб +', 'Матрица': 'TFT IPS', 'Камера': 'Есть', 'Количество ядер': '4', 'Разрешение экрана': '1920x1080 пикс.', 'Диагональ': '15.6', 'Вес': '2.3 кг'}"
39,Ноутбук MSI GL73 i7-8750H 16Gb 256Gb-SSD 1000Gb,Компьютерная техника,Ноутбуки,"Необязательно собирать громоздкий компьютер, чтобы пройти все острые сюжеты в игровой индустрии! Технологии давно позволяют создавать ноутбуки, которые не уступают мощностью стациноарным компьютерам, MSI GL73 – яркий тому пример!","['/upload/product/748/8f06c47716fa91610302dbdc88a85d26/full.jpg', '/upload/product/748/31ebbec00bb3b9de46d82b5f7ded7fa4/full.jpg', '/upload/product/748/9e144330ed913d2d58e5a88bba625cdb/full.jpg', '/upload/product/748/da99e4549fd82d617580d750d34ffb4c/full.jpg', '/upload/product/748/0607c100de85165bb0873d2ff09f4647/full.jpg', '/upload/product/748/763eeb7a5c7aa5a972dda00c05099102/full.jpg', '/upload/product/748/11af1bf54416a58ceaf9304758164199/full.jpg', '/upload/product/748/fbae9a2c1c4e63c539d5418ab3144ee6/full.jpg', '/upload/product/748/bb8087289202ff754956cc0f2e560080/full.jpg', '/upload/product/748/f15039e08f7a8b366bfadfb7c4e47f3e/full.jpg', '/upload/product/748/c1eddb7eded2319cc8a3e819bdc1f4fd/full.jpg', '/upload/product/748/6d232d3c819c8585d9b9a6a2ca02a456/full.jpg', '/upload/product/748/5aa97fad8ca09156236ab1846e3f4030/full.jpg', '/upload/product/748/acdb89a2e259498162df1c1bcb4ff32c/full.jpg', '/upload/product/748/496d86e85a1afcb1df8dd869b5b3436d/full.jpg', '/upload/product/748/45e43f51ce0ec2ebe681e54dab3f992b/full.jpg', '/upload/product/748/89d85f8b9599fb6a1480f9d57920a381/full.jpg', '/upload/product/748/c69bf7a6274a2e70a31c2a2fc83e7903/full.jpg']","{'Процессор': 'Intel Core i7 8750H (Coffee Lake) 2.2 ГГц', 'Объём оперативной памяти': '16 ГБ', 'Жесткий диск (SSD)': '256 ГБ', 'Видеоадаптер': 'Интегрированный Intel UHD Graphics 630', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '3 ч', 'Аккумулятор': 'Литий-ионная, емкость - 4400 мАч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Объём встроенной памяти': '1000 ГБ', 'Видеокарта': 'NVIDIA GeForce® RTX 2060, 6144 МБ', 'Тип видеокарты': 'Дискретная', 'Операционная система': 'Windows', 'Стереодинамики': 'Есть', 'Экран': '17.3', 'Тип памяти': 'HDD+SSD', 'Жесткий диск (HDD)': '1000 Gb', 'USB порт': 'USB 3.0 3 шт.', 'LAN': 'Есть', 'Камера': 'Есть', 'Количество ядер': '6', 'Разрешение экрана': '1920x1080 Full HD', 'Диагональ': '17.3', 'Размеры': '41.9x28.7x3.3 см', 'Вес': '2.9 кг'}"
40,Ноутбук MSI GL63 i7-8750H 8Gb 128Gb-SSD 1000Gb,Компьютерная техника,Ноутбуки,MSI GL63 – один из самых популярных геймерских ноутбуков. Его базовая конфигурация включает в себя процессор Core i7 и видеокарты GTX 1050. Четырехъядерный восьмипоточный процессор 8750H будет весьма кстати в современных играх. Двухвентиляторная система охлаждения GL63 даёт возможность переключаться между обычным и усиленным обдувом.,"['/upload/product/751/8f06c47716fa91610302dbdc88a85d26/full.jpg', '/upload/product/751/31ebbec00bb3b9de46d82b5f7ded7fa4/full.jpg', '/upload/product/751/9e144330ed913d2d58e5a88bba625cdb/full.jpg', '/upload/product/751/da99e4549fd82d617580d750d34ffb4c/full.jpg', '/upload/product/751/0607c100de85165bb0873d2ff09f4647/full.jpg', '/upload/product/751/763eeb7a5c7aa5a972dda00c05099102/full.jpg', '/upload/product/751/11af1bf54416a58ceaf9304758164199/full.jpg', '/upload/product/751/fbae9a2c1c4e63c539d5418ab3144ee6/full.jpg', '/upload/product/751/bb8087289202ff754956cc0f2e560080/full.jpg', '/upload/product/751/f15039e08f7a8b366bfadfb7c4e47f3e/full.jpg', '/upload/product/751/c1eddb7eded2319cc8a3e819bdc1f4fd/full.jpg', '/upload/product/751/6d232d3c819c8585d9b9a6a2ca02a456/full.jpg', '/upload/product/751/5aa97fad8ca09156236ab1846e3f4030/full.jpg', '/upload/product/751/acdb89a2e259498162df1c1bcb4ff32c/full.jpg', '/upload/product/751/496d86e85a1afcb1df8dd869b5b3436d/full.jpg', '/upload/product/751/45e43f51ce0ec2ebe681e54dab3f992b/full.jpg', '/upload/product/751/89d85f8b9599fb6a1480f9d57920a381/full.jpg', '/upload/product/751/c69bf7a6274a2e70a31c2a2fc83e7903/full.jpg']","{'Процессор': 'Intel Core i7 8750H (Coffee Lake) 2.2 ГГц', 'Объём оперативной памяти': '8 ГБ', 'Жесткий диск (SSD)': '128 ГБ', 'Видеоадаптер': 'Интегрированный Intel UHD Graphics 630', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '3 ч', 'Аккумулятор': 'Литий-ионная, емкость - 4400 мАч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Объём встроенной памяти': '1000 ГБ', 'Видеокарта': 'NVIDIA GeForce® GTX 1050, 2048 МБ', 'Тип видеокарты': 'Дискретная', 'Операционная система': 'Windows', 'Экран': 'Матовый', 'Тип памяти': 'HDD+SSD', 'Жесткий диск (HDD)': '1000 Gb', 'USB порт': 'USB 3.0 3 шт.', 'LAN': 'Есть', 'Камера': 'Есть', 'Количество ядер': '6', 'Разрешение экрана': '1920x1080 Full HD', 'Диагональ': '15.6', 'Размеры': '38.3x26x2.9 см', 'Вес': '2.200 кг'}"
